0 0 100 100
100 20 20000
63.94  2.50 76.06
27.50 22.32 75.99
73.65 67.67 89.25
89.22  8.69 77.04
42.19  2.98 74.92
21.86 50.54 77.60
 2.65 19.88 72.65
64.99 54.49 86.44
22.04 58.93 77.94
80.94  0.65 75.86
80.58 69.81 88.17
34.03 15.55 75.93
95.72 33.66 81.16
 9.27  9.67 72.57
84.75 60.37 87.34
80.71 72.97 87.58
53.62 97.31 80.91
37.85 55.20 80.98
82.94 61.85 87.89
86.17 57.74 86.72
70.46  4.58 76.58
22.79 28.94 76.06
 7.98 23.28 73.55
10.10 27.80 74.18
63.57 36.48 82.66
37.02 20.95 77.02
26.70 93.67 77.39
64.80 60.91 87.29
17.11 72.91 76.97
16.34 37.95 75.86
98.95 64.00 84.20
55.69 68.46 85.22
84.29 77.60 86.16
22.90  3.21 73.28
31.55 26.77 77.07
21.10 94.29 76.44
87.64 31.47 81.54
65.54 39.56 83.48
91.45 45.89 83.91
26.49 24.66 76.13
56.14 26.27 79.99
58.46 89.78 82.87
39.94 21.93 77.51
99.75 50.95 83.17
 9.09  4.71 72.12
10.96 62.74 75.96
79.21 42.22 84.39
 6.35 38.16 74.35
99.61 52.91 83.41
97.11 86.08 82.70
 1.15 72.07 74.27
68.17 53.70 86.75
26.68 64.10 78.92
11.16 43.48 75.39
45.37 95.38 80.13
87.59 26.34 80.50
50.06 17.87 77.93
91.26 87.05 83.42
29.84 63.89 79.56
60.90 15.28 78.25
76.25 53.94 87.25
77.86 53.04 86.97
 0.06 32.42 73.15
 1.95 92.91 73.66
87.87 83.17 84.60
30.75  5.79 74.32
87.80 94.69 82.30
 8.57 48.60 75.21
 6.92 76.06 75.12
76.58 12.84 78.16
47.53 54.98 83.00
26.51 87.24 77.93
42.31 21.18 77.68
53.93 72.99 84.54
20.12 31.17 75.89
99.51 64.99 84.08
43.81 51.76 81.96
12.10 22.47 74.00
33.81 58.83 80.29
23.01 22.02 75.37
 7.10 63.11 75.29
22.89 90.54 77.05
